"category","bagOfWords"
"TEQUILA","mezcal verde méxico $ahorra"
"BEER","belgian white stella artois redds apple variedad blue moon pqte bot. reg. $pąte. ahorra $pqte."
"BEER","belgian white stella artois redds apple variedad blue moon pqte bot. reg. $pąte. ahorra $pqte."
"BEER","hefe bier ermany original schöfferhofer grape fruit beer pqte lata reg. $ahorra $xflz pate."
"POWDERED SOFT DRINKS","kool-aid tang bebida polvo variedad"
"POWDERED SOFT DRINKS","kool-aid tang bebidas polvo variedad reg. $c/u especial"
"WINE","monte stelle stella pinot grigio montes classic series variedad, reg. $ahorra"
"BEER","belgian white stella artois redds apple variedad blue moon pqte bot. reg. $pąte. ahorra $pqte."
"RUM","brugal especial extra viejo reg. $ahorra"
"WHISKY","glenfiddich geniddich lenfiddich years scotch whisky reg. $ahorra"
"WINE","luis felipe edwards variedad reg. $clu ahorra"
"LIQUEUR","passoa lsoeur reg. $ahorra $c/u"
"WINE","beringer moscato white zinfandel merlot, chenin blanc reg. $ahorra $beringer"
"FEMININE PROTECTION","bigpok bigpak kotex kotex toallas sanitarias ligthdays conv pqte long pqte. reg."
"DETERGENT","limpiol detergente compacto precio regular $por tienda"
"WINE","monte stelle stella pinot grigio montes classic series variedad, reg. $ahorra"
"WINE","caten catena variedad reg. $clu ahorra"
"BEER","uinness blue moon samuel adams variedad bots cerveza artesanal reg. $$oc/u"
"TUNA","selectos chunk light tuna water lata productos selec reg. especial xruu"
"CHEESE-OTHERS","queso blanco esperanza $cu. sperah ueso"
"COLD CUTS","jamón land o'frost waffer turkeywaffer ham,waffer chicken, honey regc turkey"
"MAYONNAISE","hellmann's mayonesa regular/light reg. $c/u real squeeze env. especial hellmanns matonnaise"
"BEER","silver pqte lata. reg. $pqte. ahorra pqte."
"BEER","heineken green light pqte reg. $pqte. ahorrapqte. pqte."
"RTD COCKTAILS","punch reoay palo ready variedad pqte reg. $pqte ahorra pqte. pesa"
"RUM","palovieo onde puerto palo viejo blanco reg. $ahorra"
"BEER","hefe bier ermany original schöfferhofer grape fruit beer pqte lata reg. $ahorra $xflz pate."
"WHISKY","dewar's white label reg. $ahorra $dewars"
"WINE","selección santiago ruiz vino blanco reserva reg. $c/u"
"WINE","estola selección postales mundo* vino reservao solmayor tempranillo reg. $*no incluye malbec cabernet roble."
"WINE","estola selección postales mundo* vino reservao solmayor tempranillo reg. $*no incluye malbec cabernet roble."
"RTD COCKTAILS","ponte vecckio vino sangría variedad lts. reg. $c/u sangria"
"WINE","mayo viña mavor tempranillo lopez haro crianza hand craft variedad reg. $ahorra $c/u"
"WINE","caballero torres coronas sangre toro viña sol, piedra albariño, cepa variedad, reg. $ahorra $c/u"
"CEREALS","handi kellogg's corn flakes frosted svt** pqte reg. $c/u esp. corncorn flakesflakesflakes límite pqtes. cliente compra."
"ARTIFICIAL SWEETENER","endulzador dulce caña sucralosa aspartame caja sobres $c/u esp. $clu"
"ARTIFICIAL SWEETENER","azúcar refinada econo pate zúcar precio regular"
"MILK","leche evaporada econo lata vaporada ímite latas cliente cnmnra"
"HOT CEREALS","avena instantánea quaker variedad svt** reg. $c/u instantanea instant oats límite envs. cliente compra."
"COOKIES/CRACKERS","galletas ritz caja fresh stacks chips crisp thins pqte variedad, svt** reg. $c/u esp. $clu toast incluye crackers garlic caias cliente comora"
"MILK ADDITIVES","nesquik chocolate fresa svt* reg. $c/u esp. $clu"
"ARTIFICIAL SWEETENER","azúcar morena econo pate reg."
"DIABETIC NUT SUPPL","suplementos glucerna regular hunger smart variedad pate bots. reg. $c/u"
"MILK","frappuccino starbucks caramelo café mocha vainilla, bot. reg. $c/u esp."
"COFFEE","nescafé clásico decaf frasco reg. $c/u dec."
"COFFEE","café yaucono pate reg."
"COFFEE","café aeela arábica boricua pate reg."
"HOT CEREALS","fécula maíz maizena caja reg. $c/u esp. lécula maiz corn starch"
"MILK","leche monjitas caja precio regular moniitas oche reducida grasa"
"PANCAKE MIXES","mezcla pancakes econo caja syrup variedad svt** reg. $c/u esp. butterme pangakes"
"CEREALS","cereales special kellogg's variedad svt* caja reg. $c/u incluye family pack value multigrainc/u"
"CEREAL BARS","specia protein meal bars special variedad svt** caja reg."
"CEREALS","cereales kellogg's froot loops pops apple jacks caja reg. $c/u esp. $clu"
"HOT CEREALS","avena quaker variedad reg. $c/u esp. $clu"
"CEREALS","tootie fruities corn bursts much cereales bolsa malt meal variedad pade, $c/u"
"COOKIES/CRACKERS","galletas export soda rovira regular lata reg. $rovirarovie sodas classic crackers"
"COOKIES/CRACKERS","galletas xxbimbo variedad svt** pate reg. $c/u esp. $clu"
"COOKIES/CRACKERS","afer bair galletas holsum vanilla wafer coconut bars pate reg. $c/u esp."
"COOKIES/CRACKERS","galletas belvita variedad caja reg. sc/u"
"COOKIES/CRACKERS","galletas mini single serve nabisco variedad svt** ores caja $c/u incluye belvita animal crakers"
"COOKIES/CRACKERS","chips thins oreo galletas ahoy! nabisco variedad svt** pate reg. $c/u esp. $clu"
"COOKIES/CRACKERS","galletas casco econo variedad svt** pqte reg."
"COOKIES/CRACKERS","cmeo galletas nabisco cameo chips ahoy reg. oreo chocolate golden chunky newton svt* $c/u esp."
"COOKIES/CRACKERS","galletas stauffer's variedad svt* caja reg. $c/u"
"JUICE-READY TO DRINK","welchito fruit punch kiwi/stawberry lata reg. esp."
"JUICE-READY TO DRINK","cono econo ctar jugos néctares variedad lata esp,"
"POWDERED SOFT DRINKS","bebidas polvo econo variedad svt* reg. $c/u esp."
